name,tradingsymbol,instrument_key
GTPL HATHWAY LIMITED,GTPL,NSE_EQ|INE869I01013
SUPRAJIT ENGINEERING LTD,SUPRAJIT,NSE_EQ|INE399C01030
ENVIRO INFRA ENGINEERS L,EIEL,NSE_EQ|INE0LLY01014
BATA INDIA LTD,BATAINDIA,NSE_EQ|INE176A01028
MARUTI SUZUKI INDIA LTD.,MARUTI,NSE_EQ|INE585B01010
THE BYKE HOSPITALITY LTD,BYKE,NSE_EQ|INE319B01014
NATIONAL ALUMINIUM CO LTD,NATIONALUM,NSE_EQ|INE139A01034
TRIDENT LIMITED,TRIDENT,NSE_EQ|INE064C01022
MBL INFRASTRUCTURE LTD,MBLINFRA,NSE_EQ|INE912H01013
TRANS & RECTI. LTD,TARIL,NSE_EQ|INE763I01026
NANDAN DENIM LIMITED,NDL,NSE_EQ|INE875G01048
MUSIC BROADCAST LIMITED,RADIOCITY,NSE_EQ|INE919I01024
GOKUL AGRO RESOURCES LTD,GOKULAGRO,NSE_EQ|INE314T01025
TECHNO ELEC & ENG CO. LTD,TECHNOE,NSE_EQ|INE285K01026
TRIVENI ENGG. & INDS. LTD,TRIVENI,NSE_EQ|INE256C01024
STARTECK FINANCE LIMITED,STARTECK,NSE_EQ|INE992I01013
NAVKAR URBANSTRUCTURE LTD,NAVKARURB,NSE_EQ|INE268H01044
NINTEC SYSTEMS LIMITED,NINSYS,NSE_EQ|INE395U01014
LEMON TREE HOTELS LTD,LEMONTREE,NSE_EQ|INE970X01018
WESTLIFE FOODWORLD LTD,WESTLIFE,NSE_EQ|INE274F01020
BEDMUTHA INDUST LTD,BEDMUTHA,NSE_EQ|INE844K01012
LAURUS LABS LIMITED,LAURUSLABS,NSE_EQ|INE947Q01028
VL E GOV AND IT SOL LTD,VLEGOV,NSE_EQ|INE03HW01020
ENDURANCE TECHNO. LTD.,ENDURANCE,NSE_EQ|INE913H01037
MOIL LIMITED,MOIL,NSE_EQ|INE490G01020
BAJAJ FINSERV LTD.,BAJAJFINSV,NSE_EQ|INE918I01026
FUTURE MKT NETWORKS LTD,FMNL,NSE_EQ|INE360L01017
BRAND CONCEPTS LIMITED,BCONCEPTS,NSE_EQ|INE977Y01011
SHANTI OVERSEAS INDIA LTD,SHANTI,NSE_EQ|INE933X01016
JIO FIN SERVICES LTD,JIOFIN,NSE_EQ|INE758E01017
MANAPPURAM FINANCE LTD,MANAPPURAM,NSE_EQ|INE522D01027
DR. REDDY S LABORATORIES,DRREDDY,NSE_EQ|INE089A01031
JOCIL LIMITED,JOCIL,NSE_EQ|INE839G01010
MEDI ASSIST HEALTH SER L,MEDIASSIST,NSE_EQ|INE456Z01021
SARTHAK METALS LIMITED,SMLT,NSE_EQ|INE017W01010
VINYL CHEMICALS (I) LTD.,VINYLINDIA,NSE_EQ|INE250B01029
SEJAL GLASS LIMITED,SEJALLTD,NSE_EQ|INE955I01044
IOL CHEM AND PHARMA LTD,IOLCP,NSE_EQ|INE485C01029
ROLLATAINERS LIMITED,ROLLT,NSE_EQ|INE927A01040
MIRZA INTERNATIONAL LIMIT,MIRZAINT,NSE_EQ|INE771A01026
ZEN TECHNOLOGIES LIMITED,ZENTEC,NSE_EQ|INE251B01027
CENTRUM CAPITAL LIMITED,CENTRUM,NSE_EQ|INE660C01027
PENINSULA LAND LIMITED,PENINLAND,NSE_EQ|INE138A01028
ASPINWALL & CO LTD,ASPINWALL,NSE_EQ|INE991I01015
SHARE IND. SECURITIES LTD,SHAREINDIA,NSE_EQ|INE932X01026
BOMBAY DYEING & MFG. CO L,BOMDYEING,NSE_EQ|INE032A01023
STL GLOBAL LIMITED,SGL,NSE_EQ|INE353H01010
INGERSOLL-RAND INDIA LTD,INGERRAND,NSE_EQ|INE177A01018
POPULAR VEHICLES N SER L,PVSL,NSE_EQ|INE772T01024
JAIN IRRIGATION SYSTEMS,JISLJALEQS,NSE_EQ|INE175A01038
KAMDHENU LIMITED,KAMDHENU,NSE_EQ|INE390H01020
GOYAL ALUMINIUMS LIMITED,GOYALALUM,NSE_EQ|INE705X01026
POLYPLEX CORPORATION LTD,POLYPLEX,NSE_EQ|INE633B01018
SICAL LOGISTICS LIMITED,SICALLOG,NSE_EQ|INE075B01020
STAR HEALTH & AL INS CO L,STARHEALTH,NSE_EQ|INE575P01011
ESTER INDUSTRIES LTD,ESTER,NSE_EQ|INE778B01029
LYPSA GEMS & JEWEL LTD,LYPSAGEMS,NSE_EQ|INE142K01011
BANSWARA SYNTEX LIMITED,BANSWRAS,NSE_EQ|INE629D01020
HINDCON CHEMICALS LIMITED,HINDCON,NSE_EQ|INE642Y01029
UNICHEM LABORATORIES LTD,UNICHEMLAB,NSE_EQ|INE351A01035
FIEM INDUSTRIES LIMITED,FIEMIND,NSE_EQ|INE737H01014
