name,tradingsymbol,instrument_key,exchange
GTPL HATHWAY LIMITED,GTPL,NSE_EQ|INE869I01013,NSE
SUPRAJIT ENGINEERING LTD,SUPRAJIT,NSE_EQ|INE399C01030,NSE
ENVIRO INFRA ENGINEERS L,EIEL,NSE_EQ|INE0LLY01014,NSE
BATA INDIA LTD,BATAINDIA,NSE_EQ|INE176A01028,NSE
MARUTI SUZUKI INDIA LTD.,MARUTI,NSE_EQ|INE585B01010,NSE
THE BYKE HOSPITALITY LTD,BYKE,NSE_EQ|INE319B01014,NSE
NATIONAL ALUMINIUM CO LTD,NATIONALUM,NSE_EQ|INE139A01034,NSE
TRIDENT LIMITED,TRIDENT,NSE_EQ|INE064C01022,NSE
MBL INFRASTRUCTURE LTD,MBLINFRA,NSE_EQ|INE912H01013,NSE
TRANS & RECTI. LTD,TARIL,NSE_EQ|INE763I01026,NSE
NANDAN DENIM LIMITED,NDL,NSE_EQ|INE875G01048,NSE
MUSIC BROADCAST LIMITED,RADIOCITY,NSE_EQ|INE919I01024,NSE
GOKUL AGRO RESOURCES LTD,GOKULAGRO,NSE_EQ|INE314T01025,NSE
TECHNO ELEC & ENG CO. LTD,TECHNOE,NSE_EQ|INE285K01026,NSE
TRIVENI ENGG. & INDS. LTD,TRIVENI,NSE_EQ|INE256C01024,NSE
STARTECK FINANCE LIMITED,STARTECK,NSE_EQ|INE992I01013,NSE
NAVKAR URBANSTRUCTURE LTD,NAVKARURB,NSE_EQ|INE268H01044,NSE
NINTEC SYSTEMS LIMITED,NINSYS,NSE_EQ|INE395U01014,NSE
LEMON TREE HOTELS LTD,LEMONTREE,NSE_EQ|INE970X01018,NSE
WESTLIFE FOODWORLD LTD,WESTLIFE,NSE_EQ|INE274F01020,NSE
BEDMUTHA INDUST LTD,BEDMUTHA,NSE_EQ|INE844K01012,NSE
LAURUS LABS LIMITED,LAURUSLABS,NSE_EQ|INE947Q01028,NSE
VL E GOV AND IT SOL LTD,VLEGOV,NSE_EQ|INE03HW01020,NSE
ENDURANCE TECHNO. LTD.,ENDURANCE,NSE_EQ|INE913H01037,NSE
MOIL LIMITED,MOIL,NSE_EQ|INE490G01020,NSE
BAJAJ FINSERV LTD.,BAJAJFINSV,NSE_EQ|INE918I01026,NSE
FUTURE MKT NETWORKS LTD,FMNL,NSE_EQ|INE360L01017,NSE
BRAND CONCEPTS LIMITED,BCONCEPTS,NSE_EQ|INE977Y01011,NSE
SHANTI OVERSEAS INDIA LTD,SHANTI,NSE_EQ|INE933X01016,NSE
JIO FIN SERVICES LTD,JIOFIN,NSE_EQ|INE758E01017,NSE
MANAPPURAM FINANCE LTD,MANAPPURAM,NSE_EQ|INE522D01027,NSE
DR. REDDY S LABORATORIES,DRREDDY,NSE_EQ|INE089A01031,NSE
JOCIL LIMITED,JOCIL,NSE_EQ|INE839G01010,NSE
MEDI ASSIST HEALTH SER L,MEDIASSIST,NSE_EQ|INE456Z01021,NSE
SARTHAK METALS LIMITED,SMLT,NSE_EQ|INE017W01010,NSE
VINYL CHEMICALS (I) LTD.,VINYLINDIA,NSE_EQ|INE250B01029,NSE
SEJAL GLASS LIMITED,SEJALLTD,NSE_EQ|INE955I01044,NSE
IOL CHEM AND PHARMA LTD,IOLCP,NSE_EQ|INE485C01029,NSE
ROLLATAINERS LIMITED,ROLLT,NSE_EQ|INE927A01040,NSE
MIRZA INTERNATIONAL LIMIT,MIRZAINT,NSE_EQ|INE771A01026,NSE
ZEN TECHNOLOGIES LIMITED,ZENTEC,NSE_EQ|INE251B01027,NSE
CENTRUM CAPITAL LIMITED,CENTRUM,NSE_EQ|INE660C01027,NSE
PENINSULA LAND LIMITED,PENINLAND,NSE_EQ|INE138A01028,NSE
ASPINWALL & CO LTD,ASPINWALL,NSE_EQ|INE991I01015,NSE
SHARE IND. SECURITIES LTD,SHAREINDIA,NSE_EQ|INE932X01026,NSE
BOMBAY DYEING & MFG. CO L,BOMDYEING,NSE_EQ|INE032A01023,NSE
STL GLOBAL LIMITED,SGL,NSE_EQ|INE353H01010,NSE
INGERSOLL-RAND INDIA LTD,INGERRAND,NSE_EQ|INE177A01018,NSE
POPULAR VEHICLES N SER L,PVSL,NSE_EQ|INE772T01024,NSE
JAIN IRRIGATION SYSTEMS,JISLJALEQS,NSE_EQ|INE175A01038,NSE
KAMDHENU LIMITED,KAMDHENU,NSE_EQ|INE390H01020,NSE
GOYAL ALUMINIUMS LIMITED,GOYALALUM,NSE_EQ|INE705X01026,NSE
POLYPLEX CORPORATION LTD,POLYPLEX,NSE_EQ|INE633B01018,NSE
SICAL LOGISTICS LIMITED,SICALLOG,NSE_EQ|INE075B01020,NSE
STAR HEALTH & AL INS CO L,STARHEALTH,NSE_EQ|INE575P01011,NSE
ESTER INDUSTRIES LTD,ESTER,NSE_EQ|INE778B01029,NSE
LYPSA GEMS & JEWEL LTD,LYPSAGEMS,NSE_EQ|INE142K01011,NSE
BANSWARA SYNTEX LIMITED,BANSWRAS,NSE_EQ|INE629D01020,NSE
HINDCON CHEMICALS LIMITED,HINDCON,NSE_EQ|INE642Y01029,NSE
UNICHEM LABORATORIES LTD,UNICHEMLAB,NSE_EQ|INE351A01035,NSE
FIEM INDUSTRIES LIMITED,FIEMIND,NSE_EQ|INE737H01014,NSE
SHEELA FOAM LIMITED,SFL,NSE_EQ|INE916U01025,NSE
PLATINUM INDUSTRIES LTD,PLATIND,NSE_EQ|INE0PT501018,NSE
PREMIER EXPLOSIVES LTD,PREMEXPLN,NSE_EQ|INE863B01029,NSE
MAHINDRA LOGISTIC LIMITED,MAHLOG,NSE_EQ|INE766P01016,NSE
ZOTA HEALTH CARE LIMITED,ZOTA,NSE_EQ|INE358U01012,NSE
AMBIKA COTTON MILL LTD.,AMBIKCO,NSE_EQ|INE540G01014,NSE
MUNJAL AUTO IND. LTD.,MUNJALAU,NSE_EQ|INE672B01032,NSE
BOROSIL RENEWABLES LTD,BORORENEW,NSE_EQ|INE666D01022,NSE
DMCC SPECIALITY CHEMICALS,DMCC,NSE_EQ|INE505A01010,NSE
G R INFRAPROJECTS LIMITED,GRINFRA,NSE_EQ|INE201P01022,NSE
SIEMENS ENERGY INDIA LTD,ENRIN,NSE_EQ|INE1NPP01017,NSE
TATVA CHIN PHARM CHEM LTD,TATVA,NSE_EQ|INE0GK401011,NSE
CHALET HOTELS LIMITED,CHALET,NSE_EQ|INE427F01016,NSE
SAKAR HEALTHCARE LIMITED,SAKAR,NSE_EQ|INE732S01012,NSE
INDOWIND ENERGY LTD,INDOWIND,NSE_EQ|INE227G01018,NSE
DALMIA BHARAT LIMITED,DALBHARAT,NSE_EQ|INE00R701025,NSE
JUBILANT AGRI N CON PRO L,JUBLCPL,NSE_EQ|INE03CC01015,NSE
KHANDWALA SECURITIES LTD,KHANDSE,NSE_EQ|INE060B01014,NSE
RAGHAV PRODUCTIVITY ENH L,RPEL,NSE_EQ|INE912T01018,NSE
SIGNPOST INDIA LIMITED,SIGNPOST,NSE_EQ|INE0KGZ01021,NSE
HT MEDIA LIMITED,HTMEDIA,NSE_EQ|INE501G01024,NSE
TOTAL TRANSPORT SYS LTD,TOTAL,NSE_EQ|INE336X01012,NSE
SAI SILKS (KALAMANDIR) L,KALAMANDIR,NSE_EQ|INE438K01021,NSE
SHREE RAMA MULTI TECH LTD,SHREERAMA,NSE_EQ|INE879A01019,NSE
PNC INFRATECH LTD.,PNCINFRA,NSE_EQ|INE195J01029,NSE
KAMDHENU VENTURES LIMITED,KAMOPAINTS,NSE_EQ|INE0BTI01037,NSE
RATTANINDIA ENT LIMITED,RTNINDIA,NSE_EQ|INE834M01019,NSE
SHRIRAM PIST. & RING LTD,SHRIPISTON,NSE_EQ|INE526E01018,NSE
JHS SVEND. LAB. LTD,JHS,NSE_EQ|INE544H01014,NSE
NHPC LTD,NHPC,NSE_EQ|INE848E01016,NSE
21ST CENTURY MGMT SERVICE,21STCENMGM,NSE_EQ|INE253B01015,NSE
R.P.P INFRA PROJECTS LTD,RPPINFRA,NSE_EQ|INE324L01013,NSE
SHIPPING CORP OF ILA LTD,SCILAL,NSE_EQ|INE0PB301013,NSE
SANWARIA CONSUMER LIMITED,SANWARIA,NSE_EQ|INE890C01046,NSE
R. S. SOFTWARE (INDIA) LI,RSSOFTWARE,NSE_EQ|INE165B01029,NSE
BAJAJ AUTO LIMITED,BAJAJ-AUTO,NSE_EQ|INE917I01010,NSE
ITD CEMENTATION INDIA LTD,ITDCEM,NSE_EQ|INE686A01026,NSE
MAZDA LIMITED,MAZDA,NSE_EQ|INE885E01042,NSE
CIGNITI TECHNOLOGIES LTD,CIGNITITEC,NSE_EQ|INE675C01017,NSE
